,"cln3-1","cln3-2","clb2-2","clb2-1","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119","cdc15_10","cdc15_30","cdc15_50","cdc15_70","cdc15_80","cdc15_90","cdc15_100","cdc15_110","cdc15_120","cdc15_130","cdc15_140","cdc15_150","cdc15_160","cdc15_170","cdc15_180","cdc15_190","cdc15_200","cdc15_210","cdc15_220","cdc15_230","cdc15_240","cdc15_250","cdc15_270","cdc15_290","cdc28_0","cdc28_10","cdc28_20","cdc28_30","cdc28_40","cdc28_50","cdc28_60","cdc28_70","cdc28_80","cdc28_90","cdc28_100","cdc28_110","cdc28_120","cdc28_130","cdc28_140","cdc28_150","cdc28_160","elu0","elu30","elu60","elu90","elu120","elu150","elu180","elu210","elu240","elu270","elu300","elu330","elu360","elu390"
"YAL040C",3.43,2.75,0.36,0.72,1.04,0.19,0.47,-1.03,-0.63,-0.68,0.1,-0.02,0.53,0.68,0.51,-0.2,-0.34,-0.59,-0.31,-0.25,0.11,0.44,0.49,0.62,0.05,-0.13,0.02,0.04,-0.14,0.24,0.91,0.42,0.58,-0.2,0.03,-0.38,-0.31,-0.56,0.17,-0.3,0.36,-0.26,0.11,-0.5,-0.66,-0.59,-0.05,-0.15,-0.58,-0.58,0.18,-0.67,0.29,0.2,0.02,1.32,0.27,,-0.41,-0.05,0.17,0.14,-0.11,-0.73,-0.05,-0.31,0.43,0.1,0.12,-0.4,-0.42,0.07,0.19,-0.21,0.48,0.47,0.25
"YAL041W",0.04,-0.4,-0.18,-0.25,-0.14,-0.61,-0.09,0.24,0.03,0.14,0.05,0.25,-0.11,-0.01,-0.06,0.15,-0.16,-0.11,0.17,0.22,0.17,-0.11,,-0.16,0,0.18,0.13,0.25,-0.08,0.34,0.05,0.22,-0.28,0.09,-0.26,-0.12,-0.06,0.21,-0.43,-0.04,0.32,0.17,-0.01,0,-0.14,-0.37,0.03,-0.32,-0.49,-0.36,0.4,-0.35,0.34,0.28,0.02,0.55,-0.09,-0.13,0.2,,0.19,-0.08,-0.21,0.46,-0.08,-0.05,0.23,0.24,-0.19,-0.27,-0.01,-0.03,0.05,-0.21,0.01,-0.17,0.01
"YAL042W",-0.42,-0.34,-0.42,0.31,-0.26,-0.5,-0.06,-0.14,0.21,-0.08,0.32,-0.01,0.08,0,-0.12,0.08,0.06,-0.06,0.11,0.11,0.17,0.11,-0.06,-0.15,-0.03,0.11,-0.06,0.41,-0.67,0.29,-0.08,0.3,-0.19,0.23,-0.01,0.06,-0.17,0.07,0.11,0.27,,-0.29,-0.29,0.14,-0.06,0.11,0,-0.17,0.21,-0.2,0.26,-0.73,-0.04,0.21,-0.2,0.75,-0.14,0.06,-0.04,-0.21,,0.05,0.2,-0.6,-0.27,-0.48,-0.07,-0.19,0.06,-0.08,0.23,0.49,0.33,0.06,0.16,0.24,0.11
"YAL043C",0,-0.3,-0.51,-0.18,0,0.03,0.05,-0.14,-0.09,-0.16,0.27,-0.05,0.24,0.09,0.23,-0.42,0.05,-0.16,0.17,0.12,-0.16,-0.05,,0.13,-0.02,0.14,0.21,-0.74,0.12,0.4,0.08,0.17,-0.25,-0.04,-0.12,-0.02,-0.09,0.16,0.28,-0.05,0.31,0.17,0.27,-0.41,-0.32,-0.36,0.09,-0.35,-0.13,-0.25,0.32,-0.48,-0.08,0.4,0.12,0.73,0.08,-0.15,-0.11,,-0.02,-0.25,0.09,0.04,-0.06,-0.19,0.42,0.1,-0.07,0.27,-0.12,0.08,-0.24,-0.44,0.19,-0.33,0.35
"YAL043C-A",0.33,,,-0.27,,,,,,,,,,,,,,,,,,,-0.21,0.15,-0.4,-0.26,0.27,-0.36,0.13,,-0.02,-0.08,0.06,,0.15,-0.03,0.44,-0.58,0.71,0.27,0.48,-0.19,0.77,-0.73,-0.08,-0.49,0.09,-0.01,-0.28,-0.18,0.2,-0.99,0.2,0.51,0.17,0.14,0.03,0.21,0.07,-0.09,,-0.23,0.16,,,,,,,,,,,,,,
"YAL044C",-0.89,-0.45,-0.3,0.21,-0.53,-0.12,-0.03,-0.03,-0.03,-0.1,0.12,0.25,0.14,0.01,-0.03,-0.03,0.01,-0.34,0.17,-0.15,0.55,0.11,0.2,-0.4,-0.46,-0.32,-0.66,0.03,-0.79,0.1,-0.89,0.05,-0.97,0.17,-0.31,0.18,-0.14,0.46,0.4,0.87,-0.24,0.22,-0.44,0.84,0.7,1.38,-0.13,-0.28,-0.08,-0.64,-0.82,-1.01,-0.24,-0.32,-0.28,1.03,0.31,0.48,-0.15,,0.86,0.2,1.07,-0.31,-0.14,0.44,0.1,-0.16,-0.43,-0.75,-0.26,0.13,0.31,0.05,0.48,0.13,0.41
"YAL045C",-0.56,-1.09,-0.15,-0.18,-0.01,-0.36,0.36,-0.01,0.16,0.38,0.19,0.18,0.1,0.02,-0.18,-0.18,0.04,0.08,0.07,0,-0.96,0.13,,-0.19,-0.23,-0.84,0.16,0.18,0.25,-0.46,-0.04,0.32,-0.48,0.28,-0.21,-0.19,0.31,-0.06,0.16,0.16,0.35,0.08,0.21,-1.18,0.5,0.89,-0.1,0.12,0.32,-0.33,-0.11,-0.31,-0.14,0.08,0.06,0.6,0.14,0.12,-0.09,-0.26,,-0.19,0.09,0.4,-0.17,0,-0.26,0.11,-0.55,-0.11,0.3,0.19,0,0.11,0.04,0.02,-0.06
"YAL046C",-0.49,-0.89,-0.09,0.19,-0.01,-0.24,-0.18,-0.26,0.03,-0.06,0.22,-0.16,0.16,0.39,0.01,0.06,0.08,-0.14,-0.03,0.14,0.01,-0.03,0.27,0.04,0.23,0.02,0.09,0.16,-0.16,-0.02,-0.17,0.1,-0.14,-0.09,0.02,-0.27,0.16,-0.25,0.19,0.08,-0.11,-0.19,-0.36,-0.02,-0.06,0.48,0.11,0.14,0.13,-0.5,0.01,-0.18,0.14,0.08,-0.18,0.68,0,0.02,-0.21,-0.26,,-0.09,0.11,-0.29,-0.08,-0.24,-0.11,-0.14,-0.11,-0.05,0.4,0.15,0.06,-0.1,0.19,0,0.32
"YAL047C",0.08,-0.45,-0.71,-0.36,-0.2,-0.67,0.29,-0.23,0.05,-0.26,0.22,-0.08,0.18,-0.05,0.59,0.05,-0.09,-0.16,0.14,0.22,-0.01,0.01,,0.27,0.26,-0.11,-0.13,0.03,-0.04,0.02,-0.3,0.03,-0.38,0.02,-0.09,-0.16,0.29,0.02,-0.14,-0.21,-0.08,0.46,0.2,0.18,-0.01,-0.13,-0.26,0.17,0.46,-0.19,-0.14,-0.35,0.1,-0.22,-0.15,0.37,-0.05,-0.02,0,0.19,,0.18,-0.09,-0.05,-0.01,-0.4,-0.05,0.17,-0.01,-0.24,0.11,0.44,0.31,0.09,-0.21,-0.12,-0.03
"YAL048C",0.21,-0.4,-0.25,-0.2,-0.13,0.7,-0.48,0.04,-0.27,0.02,0.08,0.05,-0.06,0.25,-0.69,0.09,-0.1,-0.02,-0.16,0.44,0.21,0.02,-0.49,-0.01,0.02,-0.12,0.1,0.1,0.11,0.01,-0.01,-0.39,-0.49,1.92,0.02,-0.13,-0.05,-0.35,-0.01,-0.25,0.53,0.05,0.31,-0.25,-0.29,-0.35,0.1,-0.72,-0.1,0.28,0.28,0,0.55,0.19,0.28,0.19,0,0.32,0.87,0.1,-0.56,-1.81,,0.56,0.06,,-0.04,-0.44,-0.22,0.42,0,-0.06,0.17,-0.02,-0.33,-0.13,0.01
"YAL049C",-0.22,-0.15,0.2,0.36,-0.05,-0.31,0.23,0.2,0.2,0.17,-0.13,0.03,-0.23,-0.2,-0.06,0.47,-0.17,0.05,0.05,-0.01,-0.12,-0.12,-0.07,-0.08,-0.32,-0.32,-0.33,-0.26,0.09,-0.23,0.37,0.04,0.18,0.82,-0.07,0.25,0.08,-0.18,-0.42,-0.08,0.02,0.06,-0.15,0.17,0.14,0.28,0.65,-0.2,0.03,-0.66,0.07,-0.69,-0.32,-0.31,-0.21,0.44,0.29,0.48,0.03,0.1,,0.03,0.27,0.67,0.09,0.05,0.08,0.06,-0.45,-0.34,-0.04,0.01,-0.2,-0.34,0.2,-0.14,0.34
"YAL051W",-0.01,-0.64,-0.47,-0.32,-0.2,0.13,0,-0.41,0.16,-0.23,0.05,0,0.04,0.16,-0.15,0.08,-0.08,-0.26,0.03,0.37,0.32,-0.04,-0.33,0.11,0.2,0.26,-0.04,0.34,-0.31,-0.27,-0.29,0.27,-0.35,0.3,-1.19,0.19,-0.44,0.11,0.14,0.17,0.27,0.32,0.06,0.2,0.08,0.22,0.64,-0.17,-0.07,-0.11,0.11,-0.38,0,0.23,0.2,0.09,-0.07,-0.06,0.07,-0.25,,0.03,-0.25,2.63,-0.15,,0.06,-0.1,-0.27,0.22,-0.25,-0.04,-0.38,-0.52,0.15,-1.24,-0.1
"YAL053W",0.34,0.9,-0.58,-0.92,0.21,-0.2,0.2,0.15,0.38,0.37,0.01,-0.4,-0.43,-0.62,0.18,0.24,-0.07,-0.16,0.28,0.43,-0.21,-0.33,,,,-0.19,0.52,-0.7,-0.25,-1.05,0.31,-0.19,0.86,0.35,0.79,0.02,0.34,,0.21,-0.95,0.62,-0.69,0.47,-0.48,,,-0.07,-0.58,-0.05,0.16,0.64,-0.18,0.41,0.02,-0.31,0.31,0.18,0.18,-0.05,-0.09,,-0.25,-0.32,0.23,-0.32,-0.42,-0.28,0.07,-0.24,-0.04,0.18,0.16,0.04,-0.2,0.32,0.42,0.1
"YAL054C",1.02,-1.25,-0.22,,0,0.29,0.25,0.27,0.2,0.07,0.27,0.23,0.02,-0.36,-0.2,-0.32,0.17,-0.66,0.08,-0.18,-0.26,0.14,-0.37,-0.13,-0.22,-0.33,0.77,-0.75,-0.37,-0.51,0.66,-0.44,0.6,-0.55,0.92,-1.06,0.67,,0.84,-0.75,0.67,0.72,1.36,-0.6,-0.44,-0.68,1.33,-0.29,0.2,0.08,-0.06,-0.42,-0.2,-0.39,-0.36,0.56,-0.04,0.18,0,-0.23,-0.38,,,-1.5,0.41,-0.5,-0.22,-1.35,-1.39,-0.39,0.68,1.11,0.77,-0.33,0.85,1.17,0.68
"YAL055W",-0.17,-0.97,-0.27,-0.27,-0.31,-0.25,,-0.33,0.41,-0.88,-0.02,0.18,0.22,-0.04,0.38,0.36,-0.21,0.1,-0.1,0.53,0,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.76,-0.63,-0.45,-0.11,0.42,-0.4,-0.22,0.13,-0.11,0.74,0.01,0.27,0,-0.32,,-0.44,0.33,0.4,0.18,0.61,-0.18,-0.22,-0.77,-0.18,0.08,-0.03,-0.09,-0.13,0.29,0,0.04
"YAL056W",0.07,-0.97,-0.36,0.39,-0.03,0.19,0.06,-0.21,-0.6,0.01,0.13,0.24,-0.15,0.28,-0.19,0,-0.07,-0.14,-0.23,0.42,0.06,0.22,-0.25,-0.02,-0.25,-0.16,0.09,0.06,0.26,0.14,0.21,-0.19,-0.11,-0.23,-0.5,-0.19,0.25,-0.29,0.29,-0.45,0.53,0.38,0.66,0.06,-0.05,-0.23,-0.36,-0.51,-0.22,-0.15,0.01,-0.56,0.4,0.6,0.35,0.13,0.26,0.18,0.57,-0.34,-0.09,-0.61,0.34,0.61,0.3,-1.14,-0.36,0.19,-0.08,-0.14,0.1,-0.07,0.07,0.14,0.17,-0.04,0.25
"YAL058C-A",0.58,,,-0.12,,,,,,,,,,,,,,,,,,,-0.48,0.23,-0.18,0.35,0.47,,0.97,,,-0.39,0.15,,0.24,-0.22,,-0.22,,,,,,-0.29,,-0.62,0.25,0.24,-0.17,-0.59,-0.07,-0.75,0.09,0.25,0.15,0.4,0.03,0.05,-0.17,-0.02,,0.12,0.19,,,,,,,,,,,,,,
"YAL058W",-0.56,-0.1,0.03,-0.4,-0.22,-0.45,0.24,-0.11,-0.04,-0.07,-0.11,-0.41,0.27,-0.11,0.69,0.33,-0.1,-0.1,0.24,0.32,-0.35,-0.04,,,,-0.52,0.2,-0.76,0.21,-0.2,0.49,-0.02,0.22,-0.26,-0.2,0,0.17,,0.28,-0.42,0.66,0.01,0.36,-0.23,,,0.44,0.32,-0.03,-0.37,-0.03,-0.56,-0.03,0.18,0.06,-0.04,-0.01,0.05,0.09,,-0.11,0.11,-0.06,-0.6,0.09,-0.09,0.32,0.28,-0.09,-0.01,0.14,0.07,0.04,-0.12,0.16,-0.2,0.01
"YAL059W",-0.81,-0.79,-0.14,0.03,0.12,-0.73,-0.9,-0.32,0.03,0.19,0.31,0.23,0.1,0.36,-0.34,0.24,-0.07,0.06,-0.23,0.36,0.16,0.44,1.2,1.32,0.74,0.07,0.27,-0.06,0.07,0.15,-0.53,-0.04,0.12,-0.25,-0.27,-0.67,-0.31,,-0.15,-0.07,-0.19,0.28,-0.25,-0.24,-0.71,-0.48,-0.81,0.39,0.71,-0.18,0.21,-0.15,0.51,0.22,-0.19,0.36,-0.34,-0.28,-0.43,,0.18,-0.21,0.04,-0.88,-0.08,,-0.08,1.2,0.58,0.02,0.12,-0.08,-0.06,0.16,-0.48,-0.41,-0.01
"YAL060W",0.03,-0.29,0.54,0.01,-0.69,0.06,0.25,0.06,0.1,-0.51,0.09,-0.49,-0.08,0.09,-0.09,0.35,0.75,-0.28,-0.18,0.3,0.07,0.2,,,,-1.07,-0.11,-0.89,0.1,-0.39,0.57,-0.4,-0.06,-0.48,-0.16,-0.39,0.39,,0.34,0.06,1.29,0.19,0.92,0.1,,,0.66,-1.01,-0.69,-0.67,-0.48,-0.54,0.1,-0.2,0.06,0.77,0.25,0.31,0.47,0.03,,0.48,0.47,0.85,0.09,0.63,-0.09,-0.82,-0.73,-0.37,-0.15,0.13,-0.11,-0.58,0.54,0.44,0.18
"YAL061W",-0.34,-1.12,-0.67,0.24,-0.39,0.97,0.28,-0.06,-0.29,-0.53,-0.27,-0.31,-0.25,0.34,0.05,0.07,-0.27,-0.17,0.02,0.37,0.26,0.19,-0.85,-0.41,-0.64,-0.56,0.53,-0.73,0.42,-0.6,0.43,-0.37,0.61,-0.39,0.73,-0.56,0.61,,0.29,-0.68,0.35,0.36,1.49,-0.03,-0.03,0.03,-0.18,-0.43,-0.1,-0.38,-0.36,-0.12,-0.16,-0.12,0.09,0.91,0.35,0.25,0.19,0.22,-0.06,-0.25,0.15,1.57,0.13,,0.67,-0.61,-0.71,-0.85,-0.29,-0.09,-0.68,-1.39,0.5,0.68,1.07
"YAL062W",-0.89,-0.94,0.77,-0.04,0,-0.03,0,0.05,-0.13,-0.32,0.04,-0.08,-0.29,0.15,-0.15,0.27,0.1,-0.29,0,0.6,0.15,-0.04,,,,-0.27,0.53,-0.51,0.2,-0.27,0.41,-0.33,0.07,-0.38,-0.07,-0.27,0.02,,0,-0.31,0.66,0.33,0.49,-0.3,,,1.61,1.46,1.3,0.46,0.72,-0.03,-0.05,-0.43,-0.34,-0.43,-0.48,-0.38,-0.43,-0.03,-1.24,-0.57,-1.16,1.03,0.25,,0.5,-0.06,-0.26,0.02,-0.26,-0.11,-0.08,-0.76,-0.12,-0.09,-0.08
"YAL063C",-0.03,0.03,-0.79,0.45,0.11,-0.16,0.09,-0.1,0.06,-0.37,0.03,0,0.05,-0.1,-0.23,0.21,0.08,-0.03,0.18,0,0.03,0.15,0.56,0.41,0.43,0.22,0.03,0.2,-0.38,0.21,-0.34,0.06,0.11,-0.64,0.04,0,0,-0.04,0.28,-0.08,-0.1,-0.34,-0.24,-0.13,-0.13,-0.13,0.76,0.09,0.09,-0.17,0.13,-0.17,0.32,-0.43,0.04,-1.19,-0.11,0.07,0.43,0.02,-0.06,0.38,-0.19,-0.3,-0.37,-0.18,-0.09,-0.16,-0.16,-0.1,-0.09,0.46,0.32,0.02,0.31,0.4,-0.07
"YAL064C-A",0.39,,,0.06,,,,,,,,,,,,,,,,,,,-0.2,0.2,0.24,0.62,0.24,-0.51,0.45,,0.18,0,0.25,-0.36,0.09,0.34,0.19,-0.69,0.2,-0.67,-0.04,-0.49,0.44,-0.42,0.35,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YAL064W",0.08,-1.22,-0.34,-0.3,-0.28,-0.56,0.4,-0.26,0.21,0.03,-0.08,-0.02,-0.06,-0.23,-0.08,0.02,-0.23,-0.01,-0.11,0.07,1.05,0.11,,0.31,0.09,-0.64,0.28,-0.53,0.44,-0.29,0.55,-0.41,-0.12,1.93,-0.12,-0.19,0.36,-1.07,0.56,-0.64,0.76,0.34,0.74,-1.07,-0.64,-0.62,0.9,-0.32,0.19,-0.17,0.32,-0.24,-0.07,-0.52,0.11,0.56,-0.1,-0.28,-0.1,0.02,-0.04,-0.17,-0.07,0.41,-0.37,0.17,-0.3,0.18,-0.2,-0.07,-0.03,0.17,-0.18,0.15,-0.13,0.17,0.03
"YAL064W-B",-0.34,,,0.23,,,,,,,,,,,,,,,,,,,0.11,0.13,0.07,-0.29,0.56,-0.4,0.24,0.05,0.29,-0.07,0.33,0.98,0.28,-0.15,-0.06,-0.56,-0.01,-0.37,-0.03,-0.75,0.42,-0.13,-0.33,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YAL065C",-0.27,-0.67,,0.32,0,0.2,0.28,0.29,0.08,-1.18,0.07,0.04,0.04,-0.18,-0.29,-0.11,0.05,0,0.24,0.02,0.38,0.08,-0.3,-0.02,-0.12,0.27,0.22,0.15,0.19,0.18,0.13,0.19,-0.04,-0.04,0.06,-0.12,-0.02,-0.45,0.04,-0.08,0.22,-0.13,0.24,-0.18,-0.05,-0.37,,-0.74,-0.15,0.58,,-0.74,0.58,,0.28,-0.74,,-0.74,0.85,-0.15,1.26,1.43,-1.74,0.07,-0.32,-0.15,-0.36,0.05,0.11,-0.01,0.09,0.17,0.07,0.19,-0.08,-0.18,0.36
"YAL066W",0.08,,-0.62,-0.42,0.22,0.09,0.54,-0.41,0.4,-0.21,0.14,0.08,0.05,-0.04,,0.06,-0.07,-0.16,-0.68,0.19,-0.35,0.16,,0.06,-0.06,-0.68,0.43,-0.72,1.02,-1.08,0.99,-0.53,0.48,,,-0.34,,-0.53,,-0.34,1.56,0.71,,-0.89,0.2,-0.28,1.92,1.37,0.47,0.9,0.41,0.12,0.53,-0.88,-0.15,,-0.25,-1.25,-0.73,0.03,-0.05,-1.73,-0.73,0.41,-0.49,-0.16,0.07,0.15,0.15,-0.06,0.17,0.17,-0.39,0.62,-0.39,-0.04,-0.21
"YAL067C",-0.15,-1.25,,0.07,0.01,0.07,0.17,,-0.1,0.08,0.64,0.39,0.33,-0.18,-0.54,-0.2,-0.04,-0.54,0.29,-0.46,0.06,0.03,-0.48,0.24,1.09,1,1.83,-0.66,0.25,-1.1,-0.1,-0.58,0.04,,0.99,-0.48,1.05,-0.87,0.58,-1.18,0.61,0.1,0.47,-1.26,-0.9,-0.63,0.53,-0.08,-0.25,1.95,2.39,1.68,0.38,-0.19,-0.51,-0.02,-1.02,-0.83,0.08,-1.66,-0.37,-1.83,-0.25,-0.2,0.05,0.03,0.29,0.32,0.09,0.14,-0.05,0.14,-0.16,0.12,-0.09,-0.29,-0.39
"YAL068C",0.16,,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,0.8,,,,,-0.14,-0.12,0.25,0.14,0.37,-0.51,-0.15,0.07,-0.18,0.83,0.04,0.03,-0.17,-0.02,,-0.3,-0.12,,,,,,,,,,,,,,
"YAL069W",0.38,,,-0.07,,,,,,,,,,,,,,,,,,,0.03,0.38,0.06,-0.88,0.04,-0.23,0.34,-0.08,0.39,0.03,0.26,,0.6,0.08,,-0.67,,-0.23,0.47,0.2,,-0.79,,,0.1,-0.19,-0.19,-0.04,-1.04,0.55,1.22,-0.36,0.22,0.64,-1.78,-1.04,-0.36,1.16,0.96,0.34,-0.19,,,,,,,,,,,,,,
"YAR002C-A",0.3,,,-0.27,,,,,,,,,,,,,,,,,,,-0.18,0.14,0.19,-0.2,0.45,-0.75,0.38,-0.2,0,0.04,-0.13,,0.05,0.14,,-0.9,0.3,,,0.38,0.69,-0.38,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YAR002W",-0.64,-0.09,0.04,0.19,0.2,-0.64,-0.17,0.86,-0.1,-0.51,0.03,-0.1,0.42,-0.21,0.18,-0.1,0.04,-0.29,0.24,-0.11,0.31,-0.06,0.23,0.45,0.18,,-0.23,,-0.14,,-0.73,0.27,0.23,-0.07,0.7,0.08,-0.38,,-0.14,,-0.51,-0.1,-0.59,0.48,0.16,0.11,-0.34,0.01,-0.3,-0.36,0.17,-0.23,-0.2,0.13,0.15,0.14,0,0.02,0.23,0,,0.46,0.12,0.07,-0.28,-0.49,0.17,0.12,0,0.09,-0.19,0.17,0.38,-0.17,0.52,0,-0.39
"YAR003W",0.41,0.25,-0.62,-0.29,-0.3,-0.45,0.75,0.37,0.27,-0.28,-0.16,-0.13,-0.56,-0.28,0.11,0.3,0.22,0.08,0.07,-0.02,0.11,-0.1,,-0.09,0.23,-0.17,-0.17,-0.44,-0.59,-0.51,-0.23,0.36,0.52,0.67,0.57,-0.49,0.28,-0.15,0.23,-0.42,0.25,-0.09,0.16,0.1,-0.04,0.03,-0.14,0.21,0.84,0.19,-0.26,-0.1,-0.03,-0.09,0,-0.48,0.25,0.29,0.55,-0.42,,-0.25,-0.56,-0.44,-0.69,-0.2,-0.22,0.34,-0.02,0.26,0.49,0.26,0.22,0.07,0.01,-0.13,0.05
"YAR007C",0.77,0.8,-0.94,-0.42,-0.48,-0.42,0.87,0.92,0.67,-0.18,-0.35,-1.06,-0.81,-0.18,0.53,0.8,0.45,0.16,-0.09,-0.35,-0.11,-0.35,-0.09,0.99,1.53,-0.11,-0.59,-1.21,-1.43,-1.37,-1.16,0.72,0.94,1.15,0.85,0.99,0.15,-0.43,-0.66,-0.85,-1.06,-0.34,-0.09,0.79,0.6,0.66,-0.65,0.01,1.52,0.48,-0.34,-0.71,-0.58,-0.94,-0.6,0.78,0.97,0.88,0.61,,-0.36,-0.71,-0.33,-0.83,-0.16,-0.69,-0.24,0.2,0.51,0.54,0.45,0.35,0.25,-0.38,0.24,-0.09,-0.14
"YAR008W",0.06,-1.22,-0.76,-0.42,-0.35,0.1,0.47,0.39,0.17,-0.18,-0.21,-0.08,-0.36,-0.08,-0.2,0.5,0.05,-0.2,-0.11,0.3,-0.21,,,1.02,0.75,-0.65,-0.01,-1.11,-0.31,-0.88,0.22,-0.11,0.58,0.64,0.43,0.02,0.12,-0.55,-0.21,-0.79,0.35,0.07,0.79,0.01,-0.13,-0.25,-1.04,0.29,1.45,0.67,-0.06,-0.5,-0.49,-0.83,-0.41,0.32,0.7,0.59,0.85,0.09,,-1.01,-0.61,0.1,-0.34,-0.14,-0.27,0.29,0.69,0.08,0.12,0.03,0.01,0.42,-0.46,-0.41,-0.12
"YAR009C",0.4,-0.74,0.19,0.25,0.96,0.32,0.58,0.55,0.46,0.42,0.61,-0.74,0.43,-0.98,0.32,-0.95,0.2,-0.91,0.27,-0.78,0.18,-0.91,-0.28,0.05,0.42,0.22,0.13,0.18,0.08,0.17,-0.05,0.05,-0.19,-0.3,-0.39,-0.07,-0.24,0.01,0.17,-0.32,0.25,0.59,-0.04,-0.23,-0.07,-0.15,-0.35,-0.87,-0.02,-0.51,0.64,-0.9,0.26,-0.29,-0.74,1.48,0.35,0.04,-0.52,-0.05,0.58,-0.13,1.02,0.5,0.18,0.41,0.18,-0.03,0.15,-0.25,-0.41,-0.07,-0.13,-0.15,-0.01,-0.28,-0.09
"YAR010C",0.72,-0.22,0.57,-0.23,0.23,0,0.21,0.19,0.11,0.22,0,0.36,-0.28,0,-0.51,-0.01,-0.34,0.18,-0.14,0.16,-0.21,-0.19,,0.14,0.11,0.37,0.06,0.41,0.04,0.38,-0.21,0.12,-0.23,0.17,-0.38,0.17,-1.69,0.04,0.16,0.06,0.09,0.25,-0.23,-0.05,0.16,0.06,0.29,-0.4,-0.05,-0.11,0.18,-0.77,0.04,-0.03,-0.47,-0.21,0.23,-0.1,-0.16,,0.46,-0.02,1.11,0.52,0.1,0.16,0.03,0.26,-0.04,-0.34,-0.37,-0.01,0.08,-0.39,0.13,-0.32,0.19
"YAR014C",-0.01,-0.34,-0.32,-0.12,0,-0.18,-0.42,-0.1,-0.23,-0.23,0,0.22,-0.11,,-0.11,0.17,-0.08,-0.11,-0.13,0.58,0.22,0.54,0.44,0.42,0.03,-0.11,0.35,-0.27,-0.43,-0.31,-0.42,-0.33,0.25,-0.53,0.28,-0.42,-0.24,,0.32,-0.4,0.36,0.89,0.5,0.03,-0.27,-0.13,0.06,-0.34,0.38,0.1,0.48,-0.28,0.26,0.11,0.01,0.04,-0.11,0.2,0.26,-0.21,,-0.75,-0.22,-1.08,0.11,,-0.23,0,-0.25,-0.15,0.36,0.35,0.51,-0.18,0.2,-0.05,0.42
"YAR015W",-1.29,-0.64,0.21,0.07,0,0.39,0.06,-0.2,-0.33,-0.63,-0.3,-0.21,0.51,0.13,-0.12,0.09,-0.23,-0.01,0.17,0.46,0.17,0.04,,,,-0.64,-0.35,-0.53,0.39,-0.06,0.29,-0.05,-0.3,-0.25,-0.05,-0.18,-0.02,,-0.04,0.09,0.56,0.49,0.39,0.25,,,-0.13,-0.29,0.38,0.41,0.63,-0.15,0.21,0.11,-0.36,0.05,-0.34,-0.15,-0.13,,-0.05,-0.22,0.04,-0.13,0.07,,0.09,0.25,-0.5,-0.21,-0.04,0.02,0.26,-0.02,0.34,-0.01,-0.14
"YAR018C",-0.25,-0.81,1.91,1.82,-0.46,0.12,-0.06,-0.76,-0.7,-0.79,-0.2,-0.06,0.82,0.36,0.68,-0.13,0.2,-0.32,0.04,0.57,0.17,0.53,0.23,-0.82,-1.2,-1.11,-0.04,-0.16,0.4,1.12,0.34,0.39,0.21,-0.5,-0.2,-0.7,-1.17,,-0.1,0.27,0.37,1.74,0.63,0.59,0.03,-0.33,-0.4,-0.99,-1.06,-0.75,-0.61,-0.76,0.71,1.49,1.36,0.44,0.26,-0.13,-0.36,,-0.11,0.21,0.71,-0.68,-0.56,-0.59,-0.27,-0.36,-0.71,-0.29,0.21,0.59,0.71,0.19,0.75,0.46,0.54
"YAR019C",0.26,-0.29,0.03,0.57,0.18,0.03,0,0.26,-0.1,0.05,0.28,0.28,0.4,-0.3,-0.2,-0.07,-0.02,-0.16,0.07,-0.14,-0.2,-0.36,,,-0.49,-0.44,0.25,-0.7,0.34,-0.04,0.51,-0.33,0.13,-0.12,-0.02,0.1,0.37,,0.15,-0.39,0.8,0.03,0.35,-0.49,,,0.55,-0.29,-0.29,-0.01,0.13,-0.81,-0.21,0.29,0.16,0.45,0.17,0.25,0.17,-0.61,0.04,,,0.62,0.15,0,0.15,0.03,-0.38,-0.02,-0.19,-0.41,0.31,-0.13,-0.06,-0.25,0.19
"YAR020C",0.34,-0.76,-0.51,0.29,-0.19,-0.12,-0.13,0.5,-0.15,-0.34,0.01,-0.34,-0.08,0.12,0.19,-0.1,-0.07,0.06,,0.57,0,0.06,0.15,0.36,0.11,-0.22,0.19,-0.42,0.73,-0.82,0.32,-0.42,0.46,-0.77,0.34,0.24,0.52,-0.02,0.35,-0.24,0.74,-0.08,0.6,-1.54,-0.17,-0.4,-0.24,-0.59,0.15,-0.13,0.08,-0.66,0.06,-0.07,-0.42,1.43,0.33,0.33,-0.08,0.1,,-0.38,0.09,-0.22,0.22,-0.6,0.09,-0.33,-0.13,0.03,0.28,0.3,0.14,-0.18,0.22,-0.07,0.25
